" ",Category,fav,title1,title2,title3,z1,z2,z3,x1,x2,x3,y1,y2,y3,a1,a2,a3,b1,b2,b3
A1,,,Precision,Adder,,Offset,,,Pitch CV,Input,,Inverting,Input,,CV OUT,,,Inverted,CV OUT,(if Y)
A2,,,Four,Quadrant,Multiplier,Scale,,,Audio,Input,,Modulating,CV,Input,Audio Out,(X * Y,* scale),Inverted,Output,of A
A3,,,Full,Wave,Rectifier,Mode,,,input,,,Input,,,Output,abs(X) or,abs(X+Y),Output,abs(Y) or,abs(X-Y)
A4,,,Minimum,maximum,,Gate,,,input,,,input,,,Output,"min(X,Y)",,Output,"max(X,Y)",
A5,,,Linear,Exponen.,Converter,Tuning,,,Exponen,tial,Input,Linear,Input,,Exponen,tial,Output,Linear,Output,
A6,,,Quantizer,,,Scale,Select,,Voltage,Input,,Trigger/,Transpo,se,Quantiz,ed Out,,GateOut,Note,Cange
A7,,,Comparat-,or,,Hysteresis,,,Input,,,Input,,,if X > Y,then,Gate Out,if X < Y,then,Gate Out
A8,,,Dual,Wave-,shaper,Wave,Algorithm,,Input,Wave 1,,Input,Wave 2,,Output,Wave 1,,Output,Wave 2,
B1,,,Sample,& Hold,,Slew,Rate,/ Glide,CV Sample,Input,,CV,Gate,Input,Sampled,CV,Output,Noise,Output,
B2,,,Slew,Rate,Limiter,Slew,Rate,,Input,,,Input,,,Linear,Slew,,Logarit.,Slew,
B3,,,Pitch &,Envelope,Tracker,Envelo,pe Rate,,Audio,Input,,Pitch,Modula,tor,1V / Oct,Input,,Envelo,pe Out,
B4,,,Clockable,Delay/,Echo,Feedbck,,,Audio,Input,,Clock,Input,,Mix /,Mix /,Delay,Delay/,Mix /,Delay
B5,,,LFO,,,Tune,,,Hz / V,Frequency,,wave-,shape,,saw ->,sine ->,triangle,pulse->,square->,pulse
B6,,,Clockable,LFO,,integer,multiplier,/divider,Clock,Input,,Wave-,shape,,saw ->,sine ->,triangle,pulse->,square->,pulse
B7,,,VCO with,linear,FM,Tune,+ / - 0.5,Octaves,V / Oct,Pitch,Input,Linear,FM,Input,Sine,Output,,Sawtooth,Output,
B8,,,VCO,with wave-,shaping,Tune,+ / - 0.5,Octaves,V / Oct,Pitch,Input,+ / - 5V,waveshp,/ PWM,slectble,Output,wavefrms,slectble,Output,wavefrms
C1,,,Precision,Adder,fract offst,Offset,,,Input,,,Input,,,Output,X + Y +,Offset,Output,X + Y -,Offset
C2,,,VoltCntrld,Delay,Line,Feedbck,Bipolar,,Audio,Input,,0 - 8V,Delay,Time,Audio Out,Delay,Only,AudioOut,X + dlay,
C3,,,Clockable,PingPong,Delay,Feedbck,,,Audio,Input,,Clock,> 1 Volt,,AudioOut,Left,,AudioOut,Right,
C4,,,Clockable,PingPong,Delay,Input,Pan,,Audio,Input,,Clock,> 1 Volt,,AudioOut,Left,,AudioOut,Right,
C5,,,Resonator,,,Gain,,,Audio,Input,,1 V / Oct,Input,,AudioOut,,,Envelo,of Audio,Output
C6,,,Vocoder,,,Decay,Time,,Modulat,or Input,,Source,Carier,Input,AudioOut,,,Envelo,of Audio,Output
C7,,,Phaser,,,Bipolar,Feedbck,,Audio,Input,,Sweep,Phase,Shift,AudioOut,X +,Phaser,AudioOut,Phaser,only
C8,,,Bit,Crusher,,Bit Redu,ction,,Audio,Input,,Sample,Rate,,AudioOut,,,Comper,ator Out,
D1,,,DJ,Filter,,Filter,Sweep,,Audio,Input,Left,Audio,Input,Right,AudioOut,Left,,AudioOut,Right,
D2,,,Tape,Delay,,Feedbck,,,Audio,Input,,Tape,Speed,,AudioOut,Mix or,Delay,AudioOut,Mix or,Delay
D3,,,Waveform,Animator,,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
D4,,,State,Variable,Filter,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
D5,,,LP / HP,Filter,,Resona,nce,,Audio,Input,,Freqncy,1V / Oct,Input,Low,Pass,AudioOut,High,Pass,AudioOut
D6,,,LP / BP,Filter,,Resona,nce,,Audio,Input,,Freqncy,1V / Oct,Input,Low,Pass,AudioOut,Band,Pass,AudioOut
D7,,,BP / HP,Filter,,Resona,nce,,Audio,Input,,Freqncy,1V / Oct,Input,Band,Pass,AudioOut,High,Pass,AudioOut
D8,,,BP / Notch,Filter,,Resona,nce,,Audio,Input,,Freqncy,1V / Oct,Input,Band,Pass,AudioOut,Notch,AudioOut,
E1,,,AR,Envelope,,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
E2,,,AR,Envelope,& VCA,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
E3,,,Dual AR,Envelope,,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
E4,,,Stereo,Compressor,,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
E5,,,Sidechain,Compressor,,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
E6,,,Mono,Compressor,,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
E7,,,Euro to,Buchla,Converter,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
E8,,,Buchla,to Euro,Converter,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
F1,,,Clockable,AD Envlp,w. mute,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
F2,,,Clockable,AD Envlp,w. gate,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
F3,,,Clockable,AD Envlp,w. trigger,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
F4,,,Clockable,AD Envlp,& VCA,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
F5,,,ShiftRgstr,Random,CVs,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
F6,,,ShiftRgstr,Random,QuntzdCVs,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
F7,,,ShiftRgstr,Random,Triggers,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
F8,,,ShiftRgstr,Random,DualTrggers,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
G1,,,ES-1,Emulation,,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
G2,,,ES-2,Emulation,,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
